ImageIndex,Date,PixelIndex,Latitude,Longitude,Band1,Band2,Band3,Band4,Fire_binary
438,2021-05,225,-12.50832167913704,-76.68782833235737,951.0,1126.0,1260.0,1409.0,0
438,2021-05,226,-12.50832167913704,-76.68778341659316,966.0,1128.0,1254.0,1406.0,0
438,2021-05,227,-12.50832167913704,-76.68773850082896,960.0,1120.0,1268.0,1404.0,0
438,2021-05,228,-12.50832167913704,-76.68769358506475,950.0,1086.0,1259.0,1377.0,0
438,2021-05,229,-12.50832167913704,-76.68764866930054,926.0,1070.0,1210.0,1352.0,0
438,2021-05,230,-12.50832167913704,-76.68760375353634,930.0,1080.0,1188.0,1355.0,0
438,2021-05,231,-12.50832167913704,-76.68755883777213,941.0,1082.0,1197.0,1377.0,0
438,2021-05,232,-12.50832167913704,-76.68751392200792,940.0,1093.0,1209.0,1422.0,0
438,2021-05,233,-12.50832167913704,-76.68746900624372,936.0,1119.0,1228.0,1475.0,0
438,2021-05,234,-12.50832167913704,-76.68742409047951,982.0,1168.0,1275.0,1486.0,0
438,2021-05,235,-12.50832167913704,-76.6873791747153,975.0,1116.0,1254.0,1501.0,0
438,2021-05,236,-12.50832167913704,-76.6873342589511,950.0,1038.0,1205.0,1536.0,0
438,2021-05,237,-12.50832167913704,-76.68728934318689,918.0,1017.0,1164.0,1553.0,0
438,2021-05,238,-12.50832167913704,-76.68724442742268,896.0,1064.0,1147.0,1528.0,0
438,2021-05,239,-12.50832167913704,-76.68719951165848,908.0,1088.0,1153.0,1471.0,0
438,2021-05,240,-12.50832167913704,-76.68715459589427,923.0,1095.0,1178.0,1428.0,0
438,2021-05,241,-12.50832167913704,-76.68710968013006,912.0,1071.0,1190.0,1403.0,0
438,2021-05,242,-12.50832167913704,-76.68706476436586,895.0,1032.0,1160.0,1374.0,0
438,2021-05,243,-12.50832167913704,-76.68701984860165,890.0,1034.0,1137.0,1391.0,0
438,2021-05,244,-12.50832167913704,-76.68697493283744,907.0,1074.0,1166.0,1472.0,0
438,2021-05,245,-12.50832167913704,-76.68693001707325,919.0,1111.0,1230.0,1569.0,0
438,2021-05,246,-12.50832167913704,-76.68688510130904,940.0,1130.0,1277.0,1648.0,0
438,2021-05,247,-12.50832167913704,-76.68684018554484,963.0,1148.0,1298.0,1710.0,0
438,2021-05,248,-12.50832167913704,-76.68679526978063,962.0,1161.0,1324.0,1753.0,0
438,2021-05,249,-12.50832167913704,-76.68675035401643,989.0,1173.0,1348.0,1772.0,0
438,2021-05,250,-12.508366594901247,-76.69043344668131,968.0,1207.0,1399.0,1733.0,0
438,2021-05,251,-12.508366594901247,-76.6903885309171,959.0,1162.0,1354.0,1763.0,0
438,2021-05,252,-12.508366594901247,-76.6903436151529,913.0,1126.0,1300.0,1774.0,0
438,2021-05,253,-12.508366594901247,-76.69029869938869,924.0,1145.0,1378.0,1817.0,0
438,2021-05,254,-12.508366594901247,-76.69025378362448,920.0,1121.0,1377.0,1826.0,0
438,2021-05,255,-12.508366594901247,-76.69020886786028,897.0,1130.0,1380.0,1831.0,0
438,2021-05,256,-12.508366594901247,-76.69016395209607,906.0,1176.0,1397.0,1819.0,0
